epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,362.912,1.94229,4.34603,1.77399,0.02379,0.26179,0.05771,0.03459,1.7425,4.41601,1.60051,0.000202851,0.000202851,0.000202851
2,728.788,1.93448,3.67698,1.70278,0.94392,0.04032,0.07956,0.04607,1.88552,4.20813,1.71278,0.000403043,0.000403043,0.000403043
